"topic","year","articles"
"artificial intelligence utilitarian deontological",1990,71
"artificial intelligence utilitarian deontological",1991,59
"artificial intelligence utilitarian deontological",1992,83
"artificial intelligence utilitarian deontological",1993,82
"artificial intelligence utilitarian deontological",1994,127
"artificial intelligence utilitarian deontological",1995,85
"artificial intelligence utilitarian deontological",1996,109
"artificial intelligence utilitarian deontological",1997,98
"artificial intelligence utilitarian deontological",1998,116
"artificial intelligence utilitarian deontological",1999,126
"artificial intelligence utilitarian deontological",2000,150
"artificial intelligence utilitarian deontological",2001,126
"artificial intelligence utilitarian deontological",2002,234
"artificial intelligence utilitarian deontological",2003,151
"artificial intelligence utilitarian deontological",2004,169
"artificial intelligence utilitarian deontological",2005,188
"artificial intelligence utilitarian deontological",2006,181
"artificial intelligence utilitarian deontological",2007,203
"artificial intelligence utilitarian deontological",2008,265
"artificial intelligence utilitarian deontological",2009,246
"artificial intelligence utilitarian deontological",2010,297
"artificial intelligence utilitarian deontological",2011,367
"artificial intelligence utilitarian deontological",2012,333
"artificial intelligence utilitarian deontological",2013,374
"artificial intelligence utilitarian deontological",2014,396
"artificial intelligence utilitarian deontological",2015,370
"artificial intelligence utilitarian deontological",2016,432
"artificial intelligence utilitarian deontological",2017,544
"artificial intelligence utilitarian deontological",2018,572
"artificial intelligence utilitarian deontological",2019,715
"artificial intelligence utilitarian deontological",2020,880
"artificial intelligence utilitarian deontological",2021,968
"artificial intelligence utilitarian deontological",2022,1030
"artificial intelligence utilitarian deontological",2023,1230
"artificial intelligence utilitarian deontological",2024,1350
