"topic","year","articles"
"covid",1990,3500
"covid",1991,3890
"covid",1992,3830
"covid",1993,4930
"covid",1994,8460
"covid",1995,9360
"covid",1996,15100
"covid",1997,34600
"covid",1998,147000
"covid",1999,208000
"covid",2000,260000
"covid",2001,256000
"covid",2002,292000
"covid",2003,317000
"covid",2004,338000
"covid",2005,351000
"covid",2006,341000
"covid",2007,338000
"covid",2008,347000
"covid",2009,342000
"covid",2010,302000
"covid",2011,326000
"covid",2012,333000
"covid",2013,340000
"covid",2014,325000
"covid",2015,327000
"covid",2016,295000
"covid",2017,299000
"covid",2018,242000
"covid",2019,267000
"covid",2020,1310
"covid",2021,1050
"covid",2022,782000
"covid",2023,503000
"covid",2024,4e+05
