"topic","year","articles"
"moral reasoning",1990,"Ungefähr 25 100 Ergebnisse (0,09 Sek.)"
"moral reasoning",1991,"Ungefähr 26 100 Ergebnisse (0,12 Sek.)"
"moral reasoning",1992,"Ungefähr 26 800 Ergebnisse (0,12 Sek.)"
"moral reasoning",1993,"Ungefähr 28 700 Ergebnisse (0,10 Sek.)"
"moral reasoning",1994,"Ungefähr 29 700 Ergebnisse (0,08 Sek.)"
"moral reasoning",1995,"Ungefähr 31 200 Ergebnisse (0,11 Sek.)"
"moral reasoning",1996,"Ungefähr 35 700 Ergebnisse (0,09 Sek.)"
"moral reasoning",1997,"Ungefähr 38 900 Ergebnisse (0,08 Sek.)"
"moral reasoning",1998,"Ungefähr 42 600 Ergebnisse (0,09 Sek.)"
"moral reasoning",1999,"Ungefähr 45 500 Ergebnisse (0,14 Sek.)"
"moral reasoning",2000,"Ungefähr 52 900 Ergebnisse (0,10 Sek.)"
"moral reasoning",2001,"Ungefähr 56 100 Ergebnisse (0,10 Sek.)"
"moral reasoning",2002,"Ungefähr 65 600 Ergebnisse (0,09 Sek.)"
"moral reasoning",2003,"Ungefähr 67 600 Ergebnisse (0,09 Sek.)"
"moral reasoning",2004,"Ungefähr 73 200 Ergebnisse (0,12 Sek.)"
"moral reasoning",2005,"Ungefähr 75 800 Ergebnisse (0,14 Sek.)"
"moral reasoning",2006,"Ungefähr 82 900 Ergebnisse (0,12 Sek.)"
"moral reasoning",2007,"Ungefähr 88 300 Ergebnisse (0,12 Sek.)"
"moral reasoning",2008,"Ungefähr 95 300 Ergebnisse (0,12 Sek.)"
"moral reasoning",2009,"Ungefähr 105 000 Ergebnisse (0,09 Sek.)"
"moral reasoning",2010,"Ungefähr 110 000 Ergebnisse (0,09 Sek.)"
"moral reasoning",2011,"Ungefähr 111 000 Ergebnisse (0,11 Sek.)"
"moral reasoning",2012,"Ungefähr 129 000 Ergebnisse (0,08 Sek.)"
"moral reasoning",2013,"Ungefähr 149 000 Ergebnisse (0,14 Sek.)"
"moral reasoning",2014,"Ungefähr 131 000 Ergebnisse (0,12 Sek.)"
"moral reasoning",2015,"Ungefähr 127 000 Ergebnisse (0,11 Sek.)"
"moral reasoning",2016,"Ungefähr 128 000 Ergebnisse (0,13 Sek.)"
"moral reasoning",2017,"Ungefähr 134 000 Ergebnisse (0,09 Sek.)"
"moral reasoning",2018,"Ungefähr 127 000 Ergebnisse (0,12 Sek.)"
"moral reasoning",2019,"Ungefähr 118 000 Ergebnisse (0,15 Sek.)"
"moral reasoning",2020,"Ungefähr 107 000 Ergebnisse (0,12 Sek.)"
"moral reasoning",2021,"Ungefähr 97 500 Ergebnisse (0,11 Sek.)"
"moral reasoning",2022,"Ungefähr 86 600 Ergebnisse (0,08 Sek.)"
"moral reasoning",2023,"Ungefähr 76 300 Ergebnisse (0,13 Sek.)"
"moral reasoning",2024,"Ungefähr 84 400 Ergebnisse (0,12 Sek.)"
