"topic","year","articles"
"morality",1990,20500
"morality",1991,53700
"morality",1992,48000
"morality",1993,70900
"morality",1994,103000
"morality",1995,151000
"morality",1996,190000
"morality",1997,240000
"morality",1998,256000
"morality",1999,386000
"morality",2000,387000
"morality",2001,479000
"morality",2002,513000
"morality",2003,756000
"morality",2004,737000
"morality",2005,924000
"morality",2006,986000
"morality",2007,1260
"morality",2008,1280
"morality",2009,1370
"morality",2010,1380
"morality",2011,1300
"morality",2012,1360
"morality",2013,1330
"morality",2014,1470
"morality",2015,1410
"morality",2016,1490
"morality",2017,1360
"morality",2018,1530
"morality",2019,1480
"morality",2020,1370
"morality",2021,1470
"morality",2022,1430
"morality",2023,1500
"morality",2024,1410
