"topic","year","articles"
"polarised online debates deontological",1990,NA
"polarised online debates deontological",1991,NA
"polarised online debates deontological",1992,NA
"polarised online debates deontological",1993,NA
"polarised online debates deontological",1994,17
"polarised online debates deontological",1995,13
"polarised online debates deontological",1996,14
"polarised online debates deontological",1997,22
"polarised online debates deontological",1998,28
"polarised online debates deontological",1999,42
"polarised online debates deontological",2000,42
"polarised online debates deontological",2001,58
"polarised online debates deontological",2002,259
"polarised online debates deontological",2003,65
"polarised online debates deontological",2004,78
"polarised online debates deontological",2005,98
"polarised online debates deontological",2006,163
"polarised online debates deontological",2007,92
"polarised online debates deontological",2008,109
"polarised online debates deontological",2009,139
"polarised online debates deontological",2010,161
"polarised online debates deontological",2011,171
"polarised online debates deontological",2012,208
"polarised online debates deontological",2013,195
"polarised online debates deontological",2014,226
"polarised online debates deontological",2015,236
"polarised online debates deontological",2016,267
"polarised online debates deontological",2017,327
"polarised online debates deontological",2018,308
"polarised online debates deontological",2019,347
"polarised online debates deontological",2020,431
"polarised online debates deontological",2021,496
"polarised online debates deontological",2022,511
"polarised online debates deontological",2023,630
"polarised online debates deontological",2024,551
