"topic","year","articles"
"polarised online debates utilitarianism",1990,NA
"polarised online debates utilitarianism",1991,15
"polarised online debates utilitarianism",1992,NA
"polarised online debates utilitarianism",1993,NA
"polarised online debates utilitarianism",1994,NA
"polarised online debates utilitarianism",1995,NA
"polarised online debates utilitarianism",1996,NA
"polarised online debates utilitarianism",1997,65
"polarised online debates utilitarianism",1998,32
"polarised online debates utilitarianism",1999,66
"polarised online debates utilitarianism",2000,38
"polarised online debates utilitarianism",2001,47
"polarised online debates utilitarianism",2002,179
"polarised online debates utilitarianism",2003,79
"polarised online debates utilitarianism",2004,75
"polarised online debates utilitarianism",2005,122
"polarised online debates utilitarianism",2006,98
"polarised online debates utilitarianism",2007,101
"polarised online debates utilitarianism",2008,139
"polarised online debates utilitarianism",2009,138
"polarised online debates utilitarianism",2010,202
"polarised online debates utilitarianism",2011,235
"polarised online debates utilitarianism",2012,266
"polarised online debates utilitarianism",2013,282
"polarised online debates utilitarianism",2014,296
"polarised online debates utilitarianism",2015,300
"polarised online debates utilitarianism",2016,354
"polarised online debates utilitarianism",2017,427
"polarised online debates utilitarianism",2018,473
"polarised online debates utilitarianism",2019,460
"polarised online debates utilitarianism",2020,467
"polarised online debates utilitarianism",2021,493
"polarised online debates utilitarianism",2022,508
"polarised online debates utilitarianism",2023,553
"polarised online debates utilitarianism",2024,445
