"topic","year","articles"
"political polarization artificial intelligence mediation moderation facilitation",1990,72
"political polarization artificial intelligence mediation moderation facilitation",1991,101
"political polarization artificial intelligence mediation moderation facilitation",1992,99
"political polarization artificial intelligence mediation moderation facilitation",1993,94
"political polarization artificial intelligence mediation moderation facilitation",1994,125
"political polarization artificial intelligence mediation moderation facilitation",1995,118
"political polarization artificial intelligence mediation moderation facilitation",1996,164
"political polarization artificial intelligence mediation moderation facilitation",1997,136
"political polarization artificial intelligence mediation moderation facilitation",1998,162
"political polarization artificial intelligence mediation moderation facilitation",1999,181
"political polarization artificial intelligence mediation moderation facilitation",2000,210
"political polarization artificial intelligence mediation moderation facilitation",2001,215
"political polarization artificial intelligence mediation moderation facilitation",2002,244
"political polarization artificial intelligence mediation moderation facilitation",2003,287
"political polarization artificial intelligence mediation moderation facilitation",2004,269
"political polarization artificial intelligence mediation moderation facilitation",2005,325
"political polarization artificial intelligence mediation moderation facilitation",2006,310
"political polarization artificial intelligence mediation moderation facilitation",2007,266
"political polarization artificial intelligence mediation moderation facilitation",2008,275
"political polarization artificial intelligence mediation moderation facilitation",2009,319
"political polarization artificial intelligence mediation moderation facilitation",2010,340
"political polarization artificial intelligence mediation moderation facilitation",2011,377
"political polarization artificial intelligence mediation moderation facilitation",2012,405
"political polarization artificial intelligence mediation moderation facilitation",2013,482
"political polarization artificial intelligence mediation moderation facilitation",2014,503
"political polarization artificial intelligence mediation moderation facilitation",2015,476
"political polarization artificial intelligence mediation moderation facilitation",2016,548
"political polarization artificial intelligence mediation moderation facilitation",2017,600
"political polarization artificial intelligence mediation moderation facilitation",2018,695
"political polarization artificial intelligence mediation moderation facilitation",2019,918
"political polarization artificial intelligence mediation moderation facilitation",2020,1060
"political polarization artificial intelligence mediation moderation facilitation",2021,1300
"political polarization artificial intelligence mediation moderation facilitation",2022,1430
"political polarization artificial intelligence mediation moderation facilitation",2023,1590
"political polarization artificial intelligence mediation moderation facilitation",2024,2110
