"topic","year","articles"
"political polarization group decision making",1990,6370
"political polarization group decision making",1991,6550
"political polarization group decision making",1992,7480
"political polarization group decision making",1993,7930
"political polarization group decision making",1994,9070
"political polarization group decision making",1995,9730
"political polarization group decision making",1996,11200
"political polarization group decision making",1997,12400
"political polarization group decision making",1998,13100
"political polarization group decision making",1999,14200
"political polarization group decision making",2000,15500
"political polarization group decision making",2001,15900
"political polarization group decision making",2002,17300
"political polarization group decision making",2003,17700
"political polarization group decision making",2004,18500
"political polarization group decision making",2005,18600
"political polarization group decision making",2006,19600
"political polarization group decision making",2007,19800
"political polarization group decision making",2008,20300
"political polarization group decision making",2009,21300
"political polarization group decision making",2010,21700
"political polarization group decision making",2011,22300
"political polarization group decision making",2012,23400
"political polarization group decision making",2013,24700
"political polarization group decision making",2014,25100
"political polarization group decision making",2015,25000
"political polarization group decision making",2016,26400
"political polarization group decision making",2017,26700
"political polarization group decision making",2018,28000
"political polarization group decision making",2019,28900
"political polarization group decision making",2020,31200
"political polarization group decision making",2021,32700
"political polarization group decision making",2022,34000
"political polarization group decision making",2023,36100
"political polarization group decision making",2024,33200
