topic,year,articles
political polarization moral reasoning,1990,2170
political polarization moral reasoning,1991,2340
political polarization moral reasoning,1992,2650
political polarization moral reasoning,1993,2890
political polarization moral reasoning,1994,3220
political polarization moral reasoning,1995,3470
political polarization moral reasoning,1996,3960
political polarization moral reasoning,1997,4420
political polarization moral reasoning,1998,4590
political polarization moral reasoning,1999,4770
political polarization moral reasoning,2000,5400
political polarization moral reasoning,2001,5520
political polarization moral reasoning,2002,6850
political polarization moral reasoning,2003,6780
political polarization moral reasoning,2004,7300
political polarization moral reasoning,2005,7770
political polarization moral reasoning,2006,8030
political polarization moral reasoning,2007,8080
political polarization moral reasoning,2008,8700
political polarization moral reasoning,2009,9610
political polarization moral reasoning,2010,10700
political polarization moral reasoning,2011,11400
political polarization moral reasoning,2012,12700
political polarization moral reasoning,2013,14100
political polarization moral reasoning,2014,14300
political polarization moral reasoning,2015,14100
political polarization moral reasoning,2016,14900
political polarization moral reasoning,2017,15700
political polarization moral reasoning,2018,16100
political polarization moral reasoning,2019,16500
political polarization moral reasoning,2020,17200
political polarization moral reasoning,2021,17200
political polarization moral reasoning,2022,17700
political polarization moral reasoning,2023,18200
political polarization moral reasoning,2024,12400
