"topic","year","articles"
"political polarization social identity",1990,2340
"political polarization social identity",1991,2540
"political polarization social identity",1992,3080
"political polarization social identity",1993,3420
"political polarization social identity",1994,3920
"political polarization social identity",1995,4220
"political polarization social identity",1996,4970
"political polarization social identity",1997,4780
"political polarization social identity",1998,5930
"political polarization social identity",1999,6300
"political polarization social identity",2000,7150
"political polarization social identity",2001,7520
"political polarization social identity",2002,9030
"political polarization social identity",2003,9240
"political polarization social identity",2004,9130
"political polarization social identity",2005,10900
"political polarization social identity",2006,11300
"political polarization social identity",2007,11800
"political polarization social identity",2008,12800
"political polarization social identity",2009,14200
"political polarization social identity",2010,15200
"political polarization social identity",2011,16000
"political polarization social identity",2012,17500
"political polarization social identity",2013,19200
"political polarization social identity",2014,19700
"political polarization social identity",2015,19500
"political polarization social identity",2016,21000
"political polarization social identity",2017,22100
"political polarization social identity",2018,21300
"political polarization social identity",2019,24500
"political polarization social identity",2020,26500
"political polarization social identity",2021,27600
"political polarization social identity",2022,28400
"political polarization social identity",2023,29200
"political polarization social identity",2024,24800
