"topic","year","articles"
"social media morality",1990,"About 15,900 results (0.07 sec)"
"social media morality",1991,"About 16,600 results (0.10 sec)"
"social media morality",1992,"About 17,500 results (0.12 sec)"
"social media morality",1993,"About 18,000 results (0.09 sec)"
"social media morality",1994,"About 19,200 results (0.09 sec)"
"social media morality",1995,"About 20,000 results (0.09 sec)"
"social media morality",1996,"About 21,100 results (0.08 sec)"
"social media morality",1997,"About 22,200 results (0.08 sec)"
"social media morality",1998,"About 23,200 results (0.09 sec)"
"social media morality",1999,"About 22,200 results (0.09 sec)"
"social media morality",2000,"About 26,300 results (0.10 sec)"
"social media morality",2001,"About 26,700 results (0.08 sec)"
"social media morality",2002,"About 30,600 results (0.10 sec)"
"social media morality",2003,"About 30,900 results (0.09 sec)"
"social media morality",2004,"About 34,200 results (0.08 sec)"
"social media morality",2005,"About 36,600 results (0.08 sec)"
"social media morality",2006,"About 40,100 results (0.10 sec)"
"social media morality",2007,"About 43,500 results (0.09 sec)"
"social media morality",2008,"About 50,400 results (0.11 sec)"
"social media morality",2009,"About 58,500 results (0.17 sec)"
"social media morality",2010,"About 63,900 results (0.10 sec)"
"social media morality",2011,"About 69,100 results (0.10 sec)"
"social media morality",2012,"About 81,000 results (0.10 sec)"
"social media morality",2013,"About 96,000 results (0.12 sec)"
"social media morality",2014,"About 88,300 results (0.13 sec)"
"social media morality",2015,"About 86,500 results (0.12 sec)"
"social media morality",2016,"About 95,700 results (0.12 sec)"
"social media morality",2017,"About 97,600 results (0.10 sec)"
"social media morality",2018,"About 95,900 results (0.11 sec)"
"social media morality",2019,"About 91,700 results (0.10 sec)"
"social media morality",2020,"About 93,300 results (0.12 sec)"
"social media morality",2021,"About 87,000 results (0.12 sec)"
"social media morality",2022,"About 70,500 results (0.11 sec)"
"social media morality",2023,"About 57,300 results (0.11 sec)"
"social media morality",2024,"About 60,800 results (0.10 sec)"
